,cmp,Publication.numbers,Title,English.abstract,Main.IPC.Code,category,concept,max_TFIDF
1,cmp,"US2017113321
TW201714707
CN106607759","
Hybridized cmp conditioner","
A hybridized CMP conditioner includes a base, a first abrasive unit and a plurality of second abrasive units.The first abrasive unit includes a first bonding layer, a substrate for abrasive unit provided on the first bonding layer and an abrasive layer provided on the substrate for abrasive unit.The abrasive layer is a diamond coating.The diamond coating is provided on the surface thereof with a plurality of abrasive tips.Each second abrasive unit includes a second bonding layer, a carrying post provided on the second bonding layer, an abrasive particle provided on the carrying post and an abrasive material-bonding layer provided between the carrying post and the abrasive particle.The CMP conditioner is provided with both excellent cutting force and flattening capability through the first abrasive unit provided with the abrasive layer and the second abrasive units provided with the abrasive particles.",B24B-053/12,Dresser,hybrid cmp condition,0.09589
2,cmp,JP2017076694,"
The grinding liquid and grinding method for CMP","
PROBLEM TO BE SOLVED: It is possible to obtain the grinding speed where the insulating material is high and also the grinding liquid for CMP whose it is possible to control the occurrence of the grinding scar, is offered.SOLUTION: The abrasive grain and the below-mentioned general formula which include oxidation cerium glycine based chemical compound and the water which possess the structure which is displayed with (1) and, it contains, the grinding liquid for CMP in order the aforementioned abrasive grain the below-mentioned condition (A) and fills up condition (B), to grind the insulating material.Condition (A): Mean particle diameter of the aforementioned abrasive grain is below 200nm above 50nm.Condition (B): Zeta-potential of the aforementioned abrasive grain is correct.",H01L-021/304,Slurry,aforement abras grain,0.040300849
3,cmp,JP2017075220,"
The abrasive composition for CMP","
PROBLEM TO BE SOLVED: It is hard, easily high speed grinding the baseplate which consists of the material, it offers the abrasive composition for CMP which can grant the even characteristic which is superior on that surface.SOLUTION: The abrasive composition for CMP of this invention includes the below-mentioned nano- diamond particle which it disperses in dispersion medium and the aforementioned dispersion medium as the primary particle.Nano- diamond particle: Grain size D50 is below 10nm, content of the carboxyl carbon in the carbon which is included in the nano- diamond particle is 1.0% or more As for total content of carboxyl carbon and the carbonyl carbon in the carbon which is included in the aforementioned nano- diamond particle it is desirable to be 2.0% or more.",C09K-003/14,Slurry,nano diamond particl,0.19030328
4,cmp,"US2017107404
KR20170044522","
Slurry composition for chemical mechanical polishing, method of preparing the same, and polishing method using the same","
A slurry composition for the CMP process includes a dispersion medium, and ceria particles having a NO3 functional group bonded to surfaces thereof.The ceria particles are contained in an amount of about 0.1 parts by weight to about 15 parts by weight based on 100 parts by weight of the dispersion medium.",C09K-003/14,Slurry,slurri composit,0.111388237
5,cmp,KR101722555,"
Chemical mechanical polishing apparatus and method","
This invention about the chemical mechanical polishing equipment and method with the thing, polishing layer of the board as for under polishing as for the chemical mechanical polishing equipment, the board as for under contacting the polishing pad and the board the polishing pad ohmic contact to in chemical mechanical polishing process, to in the polishing process which is polished the slurry of each other different temperature (slurry) the low of supplying about under including is composed a slurry supply department to surface of the polishing pad, and per unit time will be able to reduce the time when is required in the initial polishing phase which is maintained in the situation where the yearly fodder is low, per unit time from the leading role E phase where the yearly fodder is high Will be able to guarantee also the polishing uniformity to prevent overheating of the slurry.",H01L-021/304,Apparatus,descript slurri suppli,0.038117051
6,cmp,"US2017088748
KR20170039574
EP3153558
CN106566412
SG10201607960V
TW201714993","
Chemical mechanical polishing composition","
Chemical mechanical polishing (CMP) compositions, methods and systems are for polishing patterned semiconductor wafers.CMP compositions comprising an abrasive and a water soluble aluminum compound additive with a pH >7 suppress CMP stop layer (a silicon containing layer, such as silicon nitride, silicon oxide, or silicon carbide) removal rate.CMP compositions optionally contain surfactant to help wet surface; a corrosion inhibitor to provide corrosion inhibition on metal lines, vias, or trenches; and a pH adjusting agent that is used to adjust pH of the CMP polishing composition.",C09G-001/02,Apparatus,system polish,0.006130217
7,cmp,US9601482,"
Economical and environmentally friendly chemical mechanical polishing for III-V compound semiconductor device fabrication","
Compound semiconductor devices and methods for fabricating compound semiconductor devices (e.g., III-V devices) based on aspect ratio trapping are provided in which economical and environmentally friendly chemical mechanical polishing techniques are implemented to minimize waste of, e.g., III-V precursor material, minimize production costs, and minimize environmental impact from toxic waste generated from chemical mechanical polishing of III-V films.",H01L-029/78,Apparatus,devic iiiv,0.018016353
8,cmp,WO2017025536,"
Use of a chemical mechanical polishing (cmp) composition for polishing of cobalt comprising substrates","
Use of a chemical mechanical polishing (CMP) composition (Q) for chemical mechanical polishing of a substrate (S) comprising (i) cobalt and/or (ii) a cobalt alloy and (iii) Ti N and /or TaN, wherein the CMP composition (Q) comprises (E) Inorganic particles (F) at least one organic compound comprising an amino-group and an acid group (Y), wherein said compound comprises n amino groups and at least n+1 acidic protons, wherein n is a integer ? 1. (G) at least one oxidizer in an amount of from 0.2 to 2.5 wt.-% based on the total weight of the respective CMP composition, (H) an aqueous medium wherein the CMP composition (Q) has a pH of more than 6 and less than 9.",C09G-001/02,Process,total weight respect,0.038284058
9,cmp,"US2017036317
WO2017024186
US9604338","
A method to improve cmp scratch resistance for non-planar surfaces","
In described examples, a microelectronic device (100) is formed by providing a substrate having a recess (124) at a top surface (130), and a liner layer (132) formed over the top surface (130) of the substrate, extending into the recess (124).A protective layer (138) is formed over the liner layer (132), extending into the recess (124).A CMP process (142) removes the protective layer (138) and the liner layer (132) from over the top surface (130) of the subsrate, leaving the protective layer (138) and the liner layer (132) in the recess (124).The protective layer (138) is subsequently removed from the recess (124), leaving the liner layer (132) in the recess (124).The substrate may include an interconnect region (104) with a bond pad (116) and a PO layer (122) having an opening which forms the recess (124); the bond pad (116) is exposed in the recess (124).The liner layer (132) in the recess (124) may be a metal liner suitable for a subsequently-formed wire bond or bump bond.",B24B-037/04,Apparatus,microelectron devic,0.038111215
10,cmp,JP2017022266,"
Polishing liquid for cmp, and polishing method","
PROBLEM TO BE SOLVED: To provide a polishing liquid for CMP (chemical mechanical polishing) capable for inhibiting an etching rate on a cobalt-containing part while maintaining a satisfactory polishing speed on the cobalt-containing part.SOLUTION: A polishing liquid for CMP has an insulation material part 11, a cobalt-containing part 13, and a titanium-containing part 12 to bond the insulation material part and the cobalt-containing part, and is intended to polish a polishing target surface of a substrate in which the cobalt-containing part is exposed to the polishing target surface.The polishing liquid for CMP contains abrasive particles, a metal anticorrosive agent, a water-soluble polymer, and water.The metal anticorrosive agent contains a compound having a triazole skeleton.SELECTED DRAWING: Figure 1",H01L-021/304,Slurry,liquid cmp,0.051295495
11,cmp,JP2017013139,"
Cmp polishing device and cmp polishing method","
PROBLEM TO BE SOLVED: To provide a CMP polishing device which preferably polishes a wafer without adjusting the parallelism and increasing the work hours and material costs.SOLUTION: A CMP polishing device (1) includes: a holding table (15) which holds a wafer (W); a retainer ring (30) which is provided so as to enclose the holding table; a cylinder (32) which moves up or down the retainer ring around the holding table; polishing means (40) which polishes the wafer with a polishing pad (45); processing feed means (35) which relatively moves the polishing means and the holding table close to or away from each other; and slurry supply means (61) which supplies slurry to an upper surface (71) of the wafer and a polishing surface (46) of the polishing pad.A jet port (17) which jets a liquid is formed on a holding surface of the holding table and the wafer is held by the liquid jetted from the jet port in a manner such that the wafer does not contact with the holding surface.SELECTED DRAWING: Figure 3",B24B-037/30,Slurry,suppli slurri,0.018477867
12,cmp,"US2017008146
WO2017011183","
Chemical mechanical planarization conditioner","
A device and method of breaking in a chemical mechanical planarization (CMP) polishing pad using multiple pad conditioners to break-in and maintain a condition of the polishing pad.",B24B-053/017,Pad,pad condition,0.075913819
13,cmp,CN106281043,"
Method for chemical mechanical polishing SiC single crystal wafer and a method using a magneto-rheological","
The present invention provides a SiC single crystal wafer for chemical mechanical polishing solution and method of use of the magneto-rheological, wherein the core formulation by A, B of two parts, A formulation comprising 3 wt %-10 wt % of abrasive particles, 5 wt %-30 wt % of magnetic particles, 1 wt %-10 wt % of a dispersion stabilizer, Based carrier liquid; B formulation contains 1 wt %-30 wt % oxidizer, 1 wt %-10 wt % of a catalyst, 0.01 wt %-1 wt % of the PH value modifier, Based carrier liquid.Chemical mechanical polishing using a magneto-rheological the present invention, an apparatus and a polishing according to different needs, it is possible to A, B prior to processing the prescription is used in combination or alone, and has the following benefits: fine polishing SiC single crystal wafer obtained after the processing of the surface roughness Ra 0.3 nm or less is reached, the material removal rate can be achieved 0.1-3.8 ?m/h, a flat smooth surface of the polishing process.The present invention with the polishing liquid preparation process is simple, convenient operation, low cost, high efficiency, and the silicone surface of the SiC single crystal wafer can be used to process carbon face, has a high applicability and economic value.",C09G-001/02,Slurry,liquid formul,0.033716112
14,cmp,"EP3101076
US2016358790
KR20160143569
CN106244021
SG10201604531V
TW201708452
JP2017071753","
Barrier chemical mechanical planarization slurries using ceria-coated silica abrasives","
Chemical Mechanical Planarization (CMP) polishing compositions comprising composite particles, such as ceria coated silica particles, offer tunable polishing removal selectivity values between different films.Compositions enable high removal rates on interconnect metal and the silicon oxide dielectric while providing a polish stop on low-K dielectrics, a-Si and tungsten films.Chemical Mechanical Planarization (CMP) polishing compositions have shown excellent performance using soft polishing pad.",C09K-003/14,Slurry,nanoparticl,0.022959439
15,cmp,US2016347971,"
Chemical mechanical polishing slurry","
A chemical mechanical polishing slurry for polishing a stainless steel substrate is provided, which comprises a content 10?50 wt % of abrasive particles, a content 0.001?2.0 wt % of a coolant, a content 0.001?1.0 wt % of an oxidant, a content 10?5000 ppm of a lubricity improver, and a content 10?5000 ppm of a foam inhibitor.A particle size of the abrasive particles is in a range of 20?500 nm.The alkaline polishing slurry according to the present invention is capable of increasing the polishing performance, surface quality, and surface passivation effect after the chemical-mechanical polishing process.",C09G-001/02,Slurry,polish slurri claim,0.059566511
16,cmp,"US2016346901
TW201643000","
Chemical Mechanical Polishing Conditioner","
Provided is a chemical mechanical polishing (CMP) conditioner comprising: a substrate comprising a horizontal top surface and multiple abrasive units mounted on the horizontal top surface.Each abrasive unit comprises a base of the abrasive unit, an abrasive layer, and a binding layer.The base of the abrasive unit comprises an upper surface and a lower surface.The abrasive layer is formed on the upper surface and comprises multiple abrasive tips.The binding layer is formed between the lower surface and the substrate, and an inclined plane is formed towards the lower surface.The present invention further provides a method for manufacturing the CMP conditioner.The polishing capabilities of different regions of CMP conditioner can be regulated by the abrasive units.Then the CMP conditioner of the present invention satisfies the requirements in the current industry about different polishing capabilities.",B24B-053/017,Dresser,cmp condition claim,0.046084408
17,cmp,KR101678992,"
- CMP Chemical-mechanical polishing equipment having a multi-head","
The present invention relates to chemical mechanical polishing (CMP) equipment having a multi-head.The CMP equipment includes: a uniform extra-high pressure polishing device which has a multi-head for directly applying a processed pressure to the back side of a wafer placed on a table with air regardless of the size of processed wafers (for example, SiC), and increases the surface polishing rate using a uniform pressure direct control method; a temperature detection sensor which detects the generation of frictional heat in real time during a polishing work by the uniform extra-high pressure polishing device and sends data to a wafer surface roughness control device; a cooling device which supplies a cutting oil to the table based on the data detected from the temperature detection sensor so as to reduce the frictional heat applied to the multi-head of the uniform extra-high pressure polishing device and the wafer; an automatic slurry supplying machine which supplies an additive, which is mixed with a wide band gap having a high reactivity with respect to the wafer, to a polishing slurry for suppressing the heating during the polishing work by the uniform extra-high pressure polishing device; and a wafer surface roughness control device which controls the number of revolutions of the table with respect to the CMP equipment and automatically controls the supply of a cooling water and the slurry when heat is generated due to the processing.Therefore, the surface polishing is conducted with very high degree of accuracy even under the extra-high pressure conditions of 78.4 kPa (800g/cm^2) or more, thereby increasing the polishing efficiency.
COPYRIGHT KIPO 2016",H01L-021/304,Apparatus,equip,0.047977797
